,states,City,Population,total_crimes,Aggravated Assault,Simple Assault,Intimidation,Murder and Nonnegligent Manslaughter,Negligent Man- slaughter,Justifiable Homicide,Human Trafficking Offenses,Commercial Sex Acts,Involuntary Servitude,Kidnapping/ Abduction,Rape,Sodomy,Sexual Assault With an Object,Fondling,"Sex Offenses, Non- forcible",Incest,Statutory Rape,Arson,Bribery,Burglary/ Breaking & Entering,Counter- feiting/ Forgery,Destruction/ Damage/ Vandalism of Property,Embezzle- ment,Extortion/ Blackmail,False Pretenses/ Swindle/ Confidence Game,Credit Card/ Automated Teller Machine Fraud,Imper- sonation,Welfare Fraud,Wire Fraud,Pocket- picking,Purse- snatching,Shop- lifting,Theft From Building,Theft From Coin Op- erated Machine or Device,Theft From Motor Vehicle,Theft of  Motor  Vehicle Parts or Acces- sories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Drug/ Narcotic Violations,Drug Equipment Violations,Betting/ Wagering,Operating/ Promoting/ Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Por- nography/ Obscene Material,Pros- titution,Assisting or Promoting Prostitution,Purchasing Prostitution,Weapon Law Violations
71,ARKANSAS,Flippin,1349,128.0,2,20,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,2,5,0,0,0,1,1,0,0,0,0,12,4,0,2,1,17,1,0,1,33,11,0,0,0,0,0,0,0,0,3
72,ARKANSAS,Fordyce,4067,420.0,43,52,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45,17,28,0,0,3,9,1,0,0,0,1,12,5,1,17,5,75,9,10,2,24,14,0,0,0,0,1,0,0,0,7
73,ARKANSAS,Fort Smith,87603,11610.0,522,925,982,5,0,0,0,0,0,26,62,4,0,50,0,0,0,11,0,941,159,1200,0,0,215,163,36,1,0,1,0,800,377,12,905,60,2064,235,119,80,807,650,0,0,1,0,17,59,1,0,120
74,ARKANSAS,Gassville,2132,180.0,1,14,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,2,28,0,0,1,4,0,0,0,0,0,3,3,1,32,0,41,2,0,0,12,11,0,0,0,0,0,0,0,0,0
75,ARKANSAS,Gentry,3417,108.0,3,14,7,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,12,2,18,0,0,1,1,0,0,0,0,0,4,1,0,5,1,18,0,0,4,2,1,0,0,0,0,0,0,0,0,2
76,ARKANSAS,Glenwood,2168,125.0,5,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,6,18,0,0,0,0,1,0,0,0,0,2,13,1,6,1,7,2,0,2,7,6,0,0,0,0,0,0,0,0,4
77,ARKANSAS,Gosnell,3307,280.0,20,57,15,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,35,7,36,0,0,0,4,2,0,0,0,1,4,8,0,26,1,25,1,2,8,19,2,0,0,0,0,0,0,0,0,3
78,ARKANSAS,Gravette,3245,151.0,6,12,11,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,11,3,14,0,0,0,0,1,0,0,0,0,4,0,0,1,0,17,1,0,1,31,28,0,0,0,0,0,0,0,0,3
79,ARKANSAS,Greenbrier,5339,37.0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,1,8,2,0,0,0,0,0,0,0,0,1
80,ARKANSAS,Green Forest,2777,220.0,13,30,12,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,7,4,28,0,0,0,1,1,0,0,0,0,25,4,0,1,0,15,4,1,2,35,26,0,0,0,0,0,0,0,0,3
81,ARKANSAS,Greenland,1397,69.0,1,18,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,9,0,0,0,1,0,0,0,0,0,0,1,0,3,1,4,0,1,1,12,7,0,0,0,0,0,0,0,0,2
82,ARKANSAS,Greenwood,9310,325.0,10,52,31,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,21,4,19,0,0,4,0,1,0,0,0,0,2,3,0,8,0,20,2,1,0,88,48,0,0,0,0,0,0,0,0,6
83,ARKANSAS,Greers Ferry,875,61.0,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,7,0,0,0,0,0,0,0,0,0,1,10,2,1,0,3,1,0,1,13,5,0,0,0,0,0,0,0,0,0
